;Datetime;Temperature;Air Pressure;Humidity;Wind speed;Cloudiness;Precipitation
0;2026-02-28 22:00:00;-6.8;765.8;87;4;1.0;0.0
1;2026-02-28 19:00:00;-6.4;766.9;87;4;1.0;2.0
2;2026-02-28 16:00:00;-5.8;767.7;84;5;1.0;2.0
3;2026-02-28 13:00:00;-5.8;768.7;83;5;1.0;2.0
4;2026-02-28 10:00:00;-7.4;769.6;84;6;1.0;2.0
5;2026-02-28 07:00:00;-8.4;770.5;87;5;1.0;2.0
6;2026-02-28 04:00:00;-8.2;771.7;88;3;1.0;2.0
7;2026-02-28 01:00:00;-7.7;772.4;86;2;1.0;2.0
8;2026-02-27 22:00:00;-7.2;773.0;84;1;1.0;2.0
9;2026-02-27 19:00:00;-6.7;773.8;83;1;1.0;0.0
10;2026-02-27 16:00:00;-4.9;774.0;74;0;1.0;0.0
11;2026-02-27 13:00:00;-5.8;774.4;80;1;1.0;0.0
12;2026-02-27 10:00:00;-7.5;774.2;85;1;1.0;0.0
13;2026-02-27 07:00:00;-8.6;774.4;88;0;1.0;4.0
14;2026-02-27 04:00:00;-7.5;774.2;88;1;1.0;4.0
15;2026-02-27 01:00:00;-7.2;774.3;88;0;1.0;4.0
16;2026-02-26 22:00:00;-7.0;774.4;88;1;1.0;4.0
17;2026-02-26 19:00:00;-7.0;774.5;87;3;1.0;3.0
18;2026-02-26 16:00:00;-6.6;774.4;87;3;1.0;3.0
19;2026-02-26 13:00:00;-7.3;774.1;84;2;1.0;3.0
20;2026-02-26 10:00:00;-8.3;773.9;74;2;1.0;3.0
21;2026-02-26 07:00:00;-9.4;773.7;85;3;1.0;2.0
22;2026-02-26 04:00:00;-9.2;773.5;86;2;1.0;2.0
23;2026-02-26 01:00:00;-9.3;773.2;86;2;1.0;2.0
24;2026-02-25 22:00:00;-8.8;772.9;71;3;1.0;2.0
25;2026-02-25 19:00:00;-8.5;772.5;63;1;1.0;0.0
26;2026-02-25 16:00:00;-7.6;771.9;57;2;1.0;0.0
27;2026-02-25 13:00:00;-8.4;772.0;59;4;1.0;0.0
28;2026-02-25 10:00:00;-11.5;772.3;67;3;1.0;0.0
29;2026-02-25 07:00:00;-13.2;772.3;73;3;1.0;0.0
30;2026-02-25 04:00:00;-12.4;772.2;72;3;1.0;0.0
31;2026-02-25 01:00:00;-12.3;772.6;72;3;1.0;0.0
32;2026-02-24 22:00:00;-10.3;772.3;65;3;0.4;0.0
33;2026-02-24 19:00:00;-11.4;772.1;70;4;0.25;0.0
34;2026-02-24 16:00:00;-8.9;771.2;64;6;0.4;0.0
35;2026-02-24 13:00:00;-7.4;770.5;54;4;0.75;0.0
36;2026-02-24 10:00:00;-9.5;770.0;61;3;0.75;0.0
37;2026-02-24 07:00:00;-9.9;768.9;65;2;0.75;0.0
38;2026-02-24 04:00:00;-8.6;768.0;61;2;1.0;0.0
39;2026-02-24 01:00:00;-7.6;767.0;64;3;0.75;0.0
40;2026-02-23 22:00:00;-6.6;766.2;67;3;0.95;0.0
41;2026-02-23 19:00:00;-6.5;765.4;71;3;0.75;1.0
42;2026-02-23 16:00:00;-6.8;764.8;83;3;1.0;1.0
43;2026-02-23 13:00:00;-7.9;764.5;70;3;1.0;1.0
44;2026-02-23 10:00:00;-11.2;764.3;76;6;1.0;1.0
45;2026-02-23 07:00:00;-13.2;764.6;79;7;1.0;0.0
46;2026-02-23 04:00:00;-13.9;766.3;81;6;1.0;0.0
47;2026-02-23 01:00:00;-15.5;767.8;84;4;1.0;0.0
48;2026-02-22 22:00:00;-16.7;768.6;82;1;1.0;0.0
49;2026-02-22 19:00:00;-16.7;768.4;85;1;0.75;0.0
50;2026-02-22 16:00:00;-12.0;767.7;72;1;0.4;0.0
51;2026-02-22 13:00:00;-11.9;767.2;83;1;0.25;0.0
52;2026-02-22 10:00:00;-16.7;766.8;82;1;1.0;0.0
53;2026-02-22 07:00:00;-19.7;765.4;81;0;1.0;0.0
54;2026-02-22 04:00:00;-16.3;764.1;83;0;1.0;0.0
55;2026-02-22 01:00:00;-14.9;763.0;83;0;1.0;0.0
56;2026-02-21 22:00:00;-12.2;762.3;86;0;1.0;0.0
57;2026-02-21 19:00:00;-11.4;761.7;85;2;1.0;0.6
58;2026-02-21 16:00:00;-8.5;761.1;79;2;1.0;0.6
59;2026-02-21 13:00:00;-8.0;760.5;74;3;1.0;0.6
60;2026-02-21 10:00:00;-8.4;759.9;80;2;1.0;0.6
61;2026-02-21 07:00:00;-9.3;758.8;84;3;1.0;2.0
62;2026-02-21 04:00:00;-7.7;758.2;84;3;1.0;2.0
63;2026-02-21 01:00:00;-7.0;757.7;88;8;1.0;2.0
64;2026-02-20 22:00:00;-6.8;759.1;77;8;1.0;2.0
65;2026-02-20 19:00:00;-6.7;761.2;77;9;1.0;0.4
