"DATETIME";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";"null"
"28.02.2026 22:00";"-6.8";"750.2";"765.8";"-1.1";"87";"Ветер, дующий с востоко-юго-востока";"4";"5";"7";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-8.7";"";"";"";"";"";"";
"28.02.2026 19:00";"-6.4";"751.3";"766.9";"-0.7";"87";"Ветер, дующий с востоко-юго-востока";"4";"5";"7";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"-5.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-8.3";"2.0";"12";"";"";"";"";
"28.02.2026 16:00";"-5.8";"752.0";"767.7";"-1.0";"84";"Ветер, дующий с юго-востока";"5";"";"8";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-8.1";"";"";"";"";"";"";
"28.02.2026 13:00";"-5.8";"753.0";"768.7";"-0.8";"83";"Ветер, дующий с юго-востока";"5";"6";"8";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-8.3";"";"";"";"";"";"";
"28.02.2026 10:00";"-7.4";"753.8";"769.6";"-1.0";"84";"Ветер, дующий с юго-юго-востока";"6";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-9.6";"";"";"";"";"";"";
"28.02.2026 07:00";"-8.4";"754.8";"770.5";"-1.0";"87";"Ветер, дующий с юго-востока";"5";"6";"6";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"-8.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-10.2";"2.0";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"92.0";
"28.02.2026 04:00";"-8.2";"755.8";"771.7";"-0.8";"88";"Ветер, дующий с юго-юго-востока";"3";"4";"4";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-9.9";"";"";"";"";"";"";
"28.02.2026 01:00";"-7.7";"756.6";"772.4";"-0.7";"86";"Ветер, дующий с юго-юго-востока";"2";"3";"3";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"4.0";"-9.6";"";"";"";"";"";"";
"27.02.2026 22:00";"-7.2";"757.3";"773.0";"-0.8";"84";"Ветер, дующий с юга";"1";"2";"3";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-9.4";"";"";"";"";"";"";
"27.02.2026 19:00";"-6.7";"758.1";"773.8";"-0.2";"83";"Ветер, дующий с юга";"1";"1";"2";"100%.";" ";"";"";"";"-4.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-9.1";"Осадков нет";"12";"";"";"";"";
